e,e,a,a,s,s,y,y,c,c,h,h,A,a,r,r,t,t
0,0,4,0,8,0,12,5,16,0,20,0,24,0,28,5,33,0
3,0,4,5,11,0,13,5,19,0,20,5,24,5,30,5,34,0
3,1,7,5,11,3,13,3,19,1,21,5,27,5,31,4,34,4
1,1,7,0,9,3,14,3,17,1,21,3,27,0,31,3,35,4
1,2,6,0,9,4,14,5,17,4,22,3,26,0,30,2,35,5
2,2,6,1,11,4,15,5,19,4,22,5,26,1,31,1,32,5
2,3,5,1,11,5,15,0,19,5,23,5,25,1,31,0,32,4
1,3,5,0,8,5,12,0,16,5,23,0,25,0,30,0,33,4
1,4,4,0,8,2,12,1,,,22,0,24,0,29,1,33,0
3,4,4,2,10,2,14,1,,,22,2,24,2,29,0,,
3,5,6,2,10,1,14,2,,,21,2,26,2,28,0,,
0,5,6,4,8,1,12,2,,,21,0,26,4,28,3,,
,,5,4,,,,,,,,,25,4,30,3,,
,,5,2,,,,,,,,,25,2,30,4,,
,,,,,,,,,,,,,,29,4,,
,,,,,,,,,,,,,,29,3,,
,,,,,,,,,,,,,,28,3,,